 Format                 IAGA-2002                                    |
 Source of Data         United States Geological Survey (USGS)       |
 Station Name           Boulder                                      |
 IAGA CODE              BOU                                          |
 Geodetic Latitude      40.137                                       |
 Geodetic Longitude     254.763                                      |
 Elevation              1682                                         |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.01 second                                  |
 Data Interval Type     filtered 1-minute (00:15-01:45)              |
 Data Type              variation                                    |
 # DECBAS               5527                                         |
 #                                                                   |
 # Request: /ws/edge/?id=BOU&starttime=2018-01-17                    |
 # Request submitted: 2018-01-21T18:03:55Z                           |
 # Service URL: http://geomag.usgs.gov/ws/edge/                      |
 # Service version: 0.3.4                                            |
DATE       TIME         DOY     BOUX      BOUY      BOUZ      BOUF   |
2018-01-17 01:16:00.000 017     20570.29   3318.32  47103.76  52028.16
2018-01-17 01:17:00.000 017     20570.26   3318.20  47103.75  52028.13
2018-01-17 01:18:00.000 017     20570.09   3318.21  47103.72  52028.05
2018-01-17 01:19:00.000 017     20570.05   3318.26  47103.69  52028.01
2018-01-17 01:20:00.000 017     20569.97   3318.24  47103.72  52028.00
2018-01-17 01:21:00.000 017     20569.89   3318.12  47103.74  52027.97
2018-01-17 01:22:00.000 017     20569.91   3318.07  47103.72  52027.96
2018-01-17 01:23:00.000 017     20569.99   3318.16  47103.67  52027.94
2018-01-17 01:24:00.000 017     20569.90   3318.27  47103.67  52027.92
2018-01-17 01:25:00.000 017     20569.94   3318.28  47103.70  52027.96
2018-01-17 01:26:00.000 017     20570.05   3318.27  47103.69  52027.98
2018-01-17 01:27:00.000 017     20570.13   3318.32  47103.66  52028.00
2018-01-17 01:28:00.000 017     20570.02   3318.45  47103.67  52027.97
2018-01-17 01:29:00.000 017     20570.16   3318.61  47103.65  52028.01
2018-01-17 01:30:00.000 017     20570.21   3318.70  47103.67  52028.06
2018-01-17 01:31:00.000 017     20570.26   3318.80  47103.66  52028.09
2018-01-17 01:32:00.000 017     20570.35   3318.89  47103.67  52028.14
2018-01-17 01:33:00.000 017     20570.24   3318.94  47103.71  52028.13
2018-01-17 01:34:00.000 017     20570.21   3318.90  47103.75  52028.14
2018-01-17 01:35:00.000 017     20570.17   3318.79  47103.77  52028.12
2018-01-17 01:36:00.000 017     20570.26   3318.58  47103.76  52028.14
